project_id_number,title,funding_start_year,funding_end_year,institution_id,institution_name,duration,subject,person_ids
247402188,2-Photonen Mikroskopie Plattform: 2-Photonenmikroskop für in vivo Anwendungen inkl. Laserpaket und 'virtual reality'-Zubehör,2013,2013,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,227479647
247409261,2-Photonen Mikroskopie Plattform: 2-Photonenmikroskop zur hochauflösenden Mikroskopie inkl. Laserpaket,2013,2013,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,227479647
251892550,Nicht-invasive intravitale 3D-Kleintierimaging Plattform,2013,2013,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,107969588
287392730,Spinning Disk Konfokal Intravitalforschungsmikroskop,2015,2015,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,1242651
400941332,Durchflusszytometer / Analyser,2018,2018,10470,Johannes Gutenberg-Universität Mainz Universitätsmedizin Mainz,1,,228098214
133733460,SFB 880: Grundlagen des Hochauftriebs künftiger Verkehrsflugzeuge,2011,,10263,Deutsches Zentrum für Luft- und Raumfahrt e.V. (DLR) Standort Braunschweig,3,,1226436
134799969,Wechselwirkungen zwischen Reifen und Vulkanisationsform beim Formentnahmeprozess,2010,2015,135066860,Continental AG Werk Stöcken,6,,1714617
135556232,Quellen zur frühen Geschichte der Sing-Akademie zu Berlin. Probenbücher - Briefe - Dokumente,2009,2017,135679510,Sing-Akademie zu Berlin e. V.,9,,2043016
137338136,Konfokales Laserscanning-Mikroskop,2009,2009,10485,Universitätsklinikum Ulm,1,,1759412
149590335,Analytischer Micro-Computertomograph,2009,2009,10485,Universitätsklinikum Ulm,1,,1674814
161220275,Zellsortierer,2010,2010,10485,Universitätsklinikum Ulm,1,,1368600
161223819,Zellanalysegerät,2010,2010,10485,Universitätsklinikum Ulm,1,,1368600
161223895,Konfokales Mikroskop,2010,2010,10485,Universitätsklinikum Ulm,1,,1368600
162388084,Genomsequenziergerät,2010,2010,10485,Universitätsklinikum Ulm,1,,1610757
162388165,Zellsortierer,2010,2010,10485,Universitätsklinikum Ulm,1,,1610757
162388224,Durchflusszytometer,2010,2010,10485,Universitätsklinikum Ulm,1,,1610757
170469596,Live Cell Imaging System für konfokale und Multiphotonen In-vivo Mikroskopie,2010,2010,10485,Universitätsklinikum Ulm,1,,1243054
